RegionCode,RegionName,CountryCode,CountryName,Year,Sex,SuicideCount,CauseSpecificDeathPercentage,StdDeathRate,DeathRatePer100K,Population,GDP,GDPPerCapita,GNI,GNIPerCapita,InflationRate,EmploymentPopulationRatio,InflationRate_Log,IncomeGroup,GDPPerCapita_Growth,GDPPerCapita_Growth_Lag1,GDPPerCapita_Growth_Lag3,GDPPerCapita_Growth_Lag5,InflationRate_Log_Lag1,InflationRate_Log_Lag3,InflationRate_Log_Lag5,EmploymentPopulationRatio_Lag1,EmploymentPopulationRatio_Lag3,EmploymentPopulationRatio_Lag5,GDPPerCapita_Scaled,GNIPerCapita_Scaled,InflationRate_Log_Scaled,EmploymentPopulationRatio_Scaled
EU,Europe,ISL,Iceland,1990,Female,5,0.62972292,4.44882821,3.94011032,307674.0,14288405335.0,46665.239265,15097893332.0,35010.0,3.9099955025,73.0085,2.743423307759562,High-Income,,,,,,,,,,,1.5298468275017518,0.7024657649568241,-0.15726324070115463,2.1912786539589306
EU,Europe,ISL,Iceland,1991,Female,8,1.01265823,6.29413811,6.22083981,257797.0,6909730288.0,26802.98952,15097893332.0,35010.0,6.808778879,72.798,2.914461263938892,High-Income,-42.56326562949211,,,,2.743423307759562,,,73.0085,,,0.4923733921075483,0.7024657649568241,0.14339950515021066,2.1644808444378065
EU,Europe,ISL,Iceland,1992,Female,5,0.59241706,3.79775867,3.84024578,261057.0,7080981738.0,27124.27454,15097893332.0,35010.0,3.947711768,72.035,2.745847396919903,High-Income,1.198690988407325,-42.56326562949211,,,2.914461263938892,,,72.798,,,0.5091552107695558,0.7024657649568241,-0.15300200349148768,2.067346741518005
EU,Europe,ISL,Iceland,1993,Female,7,0.7963595,5.48617617,5.32319392,263725.0,6218581532.0,23579.79536,15097893332.0,35010.0,4.042852911,70.62,2.751936300997234,High-Income,-13.067553842861223,1.198690988407325,,,2.745847396919903,2.743423307759562,,72.035,73.0085,,0.32401490497496527,0.7024657649568241,-0.1422984926450624,1.8872094471123464
EU,Europe,ISL,Iceland,1994,Female,4,0.48899756,2.5106565,3.01659125,266021.0,6389460343.0,24018.6314,15097893332.0,35010.0,1.552656275,70.624,2.578909417346734,High-Income,1.8610680597526574,-13.067553842861223,-42.56326562949211,,2.751936300997234,2.914461263938892,,70.62,72.798,,0.3469368166334468,0.7024657649568241,-0.4464575173817658,1.8877186691460008
EU,Europe,ISL,Iceland,1995,Female,5,0.53191489,3.27304537,3.75093773,267468.0,7123633418.0,26633.59138,15097893332.0,23570.0,1.651231501,72.983,2.5863591888177395,High-Income,10.887214747797834,1.8610680597526574,1.198690988407325,,2.578909417346734,2.745847396919903,2.743423307759562,70.624,72.035,73.0085,0.4835251461882044,0.08210676487064643,-0.4333617765504778,2.1880323634943775
EU,Europe,ISL,Iceland,1996,Female,5,0.56369786,3.59071878,3.72856078,268916.0,7426082271.0,27614.87703,15097893332.0,24550.0,2.260418983,73.034,2.631206315399116,High-Income,3.6843910233483435,10.887214747797834,-13.067553842861223,-42.56326562949211,2.5863591888177395,2.751936300997234,2.914461263938892,72.983,70.62,72.798,0.5347810616800943,0.1352494064864204,-0.35452629159319266,2.194524944423486
EU,Europe,ISL,Iceland,1997,Female,7,0.8168028,5.3665448,5.17996685,271128.0,7569672925.0,27919.1855,7721591855.0,26460.0,1.815430803,71.996,2.598646557302394,High-Income,1.1019729317259142,3.6843910233483435,1.8610680597526574,1.198690988407325,2.631206315399116,2.578909417346734,2.745847396919903,73.034,70.624,72.035,0.5506761369028762,0.23882333045185739,-0.411762161877754,2.062381826689863
EU,Europe,ISL,Iceland,1998,Female,7,0.79365079,4.871722,5.12062735,274047.0,8503693099.0,31030.0536,8022126578.0,28150.0,1.65924171,73.798,2.5869621250618753,High-Income,11.142402775324523,1.1019729317259142,10.887214747797834,-13.067553842861223,2.598646557302394,2.5863591888177395,2.751936300997234,71.996,72.983,70.62,0.7131674486223704,0.3304672736464064,-0.4323018921202342,2.2917863528517004
EU,Europe,ISL,Iceland,1999,Female,7,0.7470651,5.17328476,5.05776692,277381.0,8982047589.0,32381.62524,8432200070.0,28980.0,3.231832609,75.692,2.6988028941824624,High-Income,4.355685805196297,11.142402775324523,3.6843910233483435,1.8610680597526574,2.5869621250618753,2.631206315399116,2.578909417346734,73.798,73.034,70.624,0.7837646715218138,0.3754758374638476,-0.2357001933331665,2.532902985787614
